product_id,brand,product_name,price,capacity_L,size_cm,powerconsumptiongrade,door_count,image,numberofusers
248,SMEG,FAB50 화이트,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022021517352075036.png,2
249,캐리어,캐리어 클라윈드 CFT-N380MSM,710580,380,71 * 185.5 * 70.5,-1,10,https://photo3.enuri.info/data/images/service/middle/53790000/53790818.jpg,2
250,삼성전자,삼성전자  RL2640YBBEC,586940,258,55.5 * 178 * 54.6,3,20,https://photo3.enuri.info/data/images/service/middle/12489000/12489553.jpg,2
251,LG전자,LG전자  F-A201GDW,549990,200,60 * 138.3 * 62.9,-1,10,https://photo3.enuri.info/data/images/service/middle/11403000/11403131.jpg,2
252,캐리어,캐리어  CSR-37WR,152090,33,,-1,10,https://photo3.enuri.info/data/images/service/middle/14481000/14481244.jpg,1
253,LG전자,LG전자  M459P,1500000,462,70.5 * 185 * 74,3,20,https://photo3.enuri.info/data/images/service/middle/33540000/33540111.jpg,2
254,SMEG,FAB50 레드,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022021517353554688.png,2
255,삼성전자,삼성전자  RT31CB5624C3,609000,298,60 * 171.5 * 64.7,1,20,https://image.enuri.info/webimage_300/17310800000/17310880000/17310887344.jpg,2
256,SMEG,FAB50 블랙,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022012416465642370.png,2
257,위니아,위니아  WWFU276EEMYSO(A),560000,0,59.5 * 185 * 65.7,-1,10,https://image.enuri.info/webimage_300/13117800000/13117840000/13117841059.jpg,-1
258,LG전자,LG전자  B243S32,462480,241,55.5 * 157.3 * 63.7,2,20,https://image.enuri.info/webimage_300/17467500000/17467540000/17467547570,2
259,삼성전자,삼성전자  RS84T5041WW,1235000,846,91.2 * 178 * 91.5,2,20,https://image.enuri.info/webimage_300/9366400000/9366420000/9366424496.jpg,4
260,SMEG,FAB50 실버,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022021514212994809.png,2
261,LG전자,LG전자  B267SM,505000,254,55.5 * 166.5 * 62,2,20,https://photo3.enuri.info/data/images/service/middle/26860000/26860248.jpg,2
262,하이얼,하이얼  HRP255MDVW,394970,248,54.5 * 178 * 56,2,20,https://photo3.enuri.info/data/images/service/dnw/master/76179000/76179876.jpg,2
263,삼성전자,삼성전자  RF85N9652XU,3500000,838,90.8 * 182.5 * 93.2,2,40,https://photo3.enuri.info/data/images/service/middle/27608000/27608719.jpg,4
264,캐리어,캐리어 클라윈드 CRF-CD117MDC,253910,117,47 * 114 * 49.5,4,20,https://photo3.enuri.info/data/images/service/dnw/master/106045000/106045457.jpg,1
265,SMEG,냉장고 FAB28 화이트,3350000,266,60*72*153,1,10,https://smegkorea.com/upload/product/2022082215012644332.png,2
266,LG전자,LG전자  C110AK,1473470,64,,1,40,https://photo3.enuri.info/data/images/service/middle/12240000/12240008.jpg,1
267,삼성전자,삼성전자  RF85N9003G2,2567820,856,,2,40,https://image.enuri.info/webimage_300/13889400000/13889490000/13889493711,4
268,SMEG,냉장고 FAB32 실버,5260000,331,60*73*197,3,20,https://smegkorea.com/upload/product/2022082615274564615.png,2
269,LG전자,LG전자  M301S31,1490810,235,55.5 * 156.5 * 62.5,2,20,https://photo3.enuri.info/data/images/service/middle/32170000/32170120.jpg,2
270,캐리어,캐리어 클라윈드 KRNT348SEM1,449000,348,59.5 * 170 * 68.5,2,20,https://photo3.enuri.info/data/images/service/dnw/master/106047000/106047560.jpg,2
